Fecha,US3MTBR
7/11/2019,0.02157
7/12/2019,0.02151
7/15/2019,0.02143
7/16/2019,0.02159
7/17/2019,0.02128
7/18/2019,0.02069
7/19/2019,0.02066
7/22/2019,0.02082
7/23/2019,0.02092
7/24/2019,0.02095
7/25/2019,0.0211
7/26/2019,0.02118
7/29/2019,0.02105
7/30/2019,0.02095
7/31/2019,0.02085
8/1/2019,0.02085
8/2/2019,0.02064
8/5/2019,0.02015
8/6/2019,0.02049
8/7/2019,0.02021
8/8/2019,0.02023
8/9/2019,0.02002
8/12/2019,0.01984
8/13/2019,0.02008
8/14/2019,0.01959
8/15/2019,0.01902
8/16/2019,0.01871
8/19/2019,0.01907
8/20/2019,0.01951
8/21/2019,0.01974
8/22/2019,0.01992
8/23/2019,0.01964
8/26/2019,0.01987
8/27/2019,0.01995
8/28/2019,0.01992
8/29/2019,0.01992
8/30/2019,0.01987
9/3/2019,0.01964
9/4/2019,0.01967
9/5/2019,0.01972
9/6/2019,0.01964
9/9/2019,0.01964
9/10/2019,0.01962
9/11/2019,0.01962
9/12/2019,0.01956
9/13/2019,0.01961
9/16/2019,0.01999
9/17/2019,0.02
9/18/2019,0.01941
9/19/2019,0.01938
9/20/2019,0.0191
9/23/2019,0.01905
9/24/2019,0.01931
9/25/2019,0.01895
9/26/2019,0.01828
9/27/2019,0.01797
9/30/2019,0.01825
10/1/2019,0.01826
10/2/2019,0.01808
10/3/2019,0.01718
10/4/2019,0.0171
10/7/2019,0.01723
10/8/2019,0.017
10/9/2019,0.01705
10/10/2019,0.01687
10/11/2019,0.01682
10/14/2019,0.01687
10/15/2019,0.01671
10/16/2019,0.01669
10/17/2019,0.01669
10/18/2019,0.01671
10/21/2019,0.01669
10/22/2019,0.01659
10/23/2019,0.01659
10/24/2019,0.01674
10/25/2019,0.01674
10/28/2019,0.01648
10/29/2019,0.01644
10/30/2019,0.01644
10/31/2019,0.01546
11/1/2019,0.01533
11/4/2019,0.01548
11/5/2019,0.01559
11/6/2019,0.01556
11/7/2019,0.01559
11/8/2019,0.01554
11/11/2019,0.01556
11/12/2019,0.01574
11/13/2019,0.01572
11/14/2019,0.01574
11/15/2019,0.01569
11/18/2019,0.01574
11/19/2019,0.01567
11/20/2019,0.01572
11/21/2019,0.01577
11/22/2019,0.01589
11/25/2019,0.01589
11/26/2019,0.01605
11/27/2019,0.01608
11/29/2019,0.01587
12/2/2019,0.01579
12/3/2019,0.01579
12/4/2019,0.01559
12/5/2019,0.01546
12/6/2019,0.01523
12/9/2019,0.01556
12/10/2019,0.01567
12/11/2019,0.01572
12/12/2019,0.01572
12/13/2019,0.01564
12/16/2019,0.01566
12/17/2019,0.01572
12/18/2019,0.01559
12/19/2019,0.01574
12/20/2019,0.01579
12/23/2019,0.01574
12/24/2019,0.01579
12/26/2019,0.01577
12/27/2019,0.01564
12/30/2019,0.01541
12/31/2019,0.01556
1/2/2020,0.01533
1/3/2020,0.0152
1/6/2020,0.01538
1/7/2020,0.01551
1/8/2020,0.01544
1/9/2020,0.01541
1/10/2020,0.01538
1/13/2020,0.01564
1/14/2020,0.01572
1/15/2020,0.01569
1/16/2020,0.01559
1/17/2020,0.01561
1/21/2020,0.01556
1/22/2020,0.01554
1/23/2020,0.01556
1/24/2020,0.01531
1/27/2020,0.01546
1/28/2020,0.01572
1/29/2020,0.01562
1/30/2020,0.01569
1/31/2020,0.01554
2/3/2020,0.01579
2/4/2020,0.01574
2/5/2020,0.01562
2/6/2020,0.01574
2/7/2020,0.01564
2/10/2020,0.01566
2/11/2020,0.01579
2/12/2020,0.01577
2/13/2020,0.01587
2/14/2020,0.01577
2/18/2020,0.01577
2/19/2020,0.01579
2/20/2020,0.01579
2/21/2020,0.01559
2/24/2020,0.01548
2/25/2020,0.01531
2/26/2020,0.01518
2/27/2020,0.01454
2/28/2020,0.01285
3/2/2020,0.01169
3/3/2020,0.00953
3/4/2020,0.00706
3/5/2020,0.00625
3/6/2020,0.00475
3/9/2020,0.00383
3/10/2020,0.00426
3/11/2020,0.00434
3/12/2020,0.00327
3/13/2020,0.00276
3/16/2020,0.00223
3/17/2020,0.00208
3/18/2020,0.0002
3/19/2020,0.00063
3/20/2020,0.00038
3/23/2020,0.0003
3/24/2020,0.00028
3/25/2020,-0.00046
3/26/2020,-0.00035
3/27/2020,0.00015
3/30/2020,0.00053
3/31/2020,0.00132
4/1/2020,0.00074
4/2/2020,0.00096
4/3/2020,0.00106
4/6/2020,0.00104
4/7/2020,0.0015
4/8/2020,0.00198
4/9/2020,0.00236
4/13/2020,0.00231
4/14/2020,0.00208
4/15/2020,0.00157
4/16/2020,0.00147
4/17/2020,0.00124
4/20/2020,0.00101
4/21/2020,0.00109
4/22/2020,0.00104
4/23/2020,0.00109
4/24/2020,0.00122
4/27/2020,0.00114
4/28/2020,0.00106
4/29/2020,0.00101
4/30/2020,0.00106
5/1/2020,0.00109
5/4/2020,0.00104
5/5/2020,0.00122
5/6/2020,0.00119
5/7/2020,0.00106
5/8/2020,0.00117
5/11/2020,0.00119
5/12/2020,0.00134
5/13/2020,0.00122
5/14/2020,0.00122
5/15/2020,0.00124
5/18/2020,0.00122
5/19/2020,0.00129
5/20/2020,0.00124
5/21/2020,0.00122
5/22/2020,0.00122
5/26/2020,0.00129
5/27/2020,0.00142
5/28/2020,0.0015
5/29/2020,0.00142
6/1/2020,0.00139
6/2/2020,0.00152
6/3/2020,0.00155
6/4/2020,0.00152
6/5/2020,0.00157
6/8/2020,0.00165
6/9/2020,0.00172
6/10/2020,0.00172
6/11/2020,0.00165
6/12/2020,0.00165
6/15/2020,0.00167
6/16/2020,0.00172
6/17/2020,0.00178
6/18/2020,0.00157
6/19/2020,0.00155
6/22/2020,0.00152
6/23/2020,0.00152
6/24/2020,0.00152
6/25/2020,0.00142
6/26/2020,0.00145
6/29/2020,0.00137
6/30/2020,0.00147
7/1/2020,0.00142
7/2/2020,0.00142
7/6/2020,0.00145
7/7/2020,0.00147
7/8/2020,0.00147
